TransactionID,CustomerID,TransactionAmount,TransactionType,Merchant,TransactionTime,Location,DeviceType,PreviousTransactions,AccountBalance,IsInternational,Fraud
TXN100053,CUST1244,1165.28,Debit,Amazon,2025-09-19 08:49:00,Pune,Web,5,86707.71,No,0
TXN100054,CUST1320,447.89,Credit,Myntra,2025-09-20 21:04:00,Kochi,ATM,8,47118.78,Yes,0
TXN100055,CUST1131,2549.87,Debit,Google,2025-08-27 04:02:00,Chennai,Mobile,6,20971.48,No,0
TXN100056,CUST1485,2689.24,Debit,Apple,2025-07-05 07:27:00,Delhi,Mobile,8,29935.58,No,0
TXN100057,CUST1307,438.69,Debit,Local Store,2025-10-19 00:25:00,Hyderabad,ATM,9,43546.43,No,0
TXN100058,CUST1135,5569.28,Debit,Google,2025-01-22 22:25:00,Kochi,Mobile,13,9632.89,No,0
TXN100059,CUST1021,1608.77,Debit,Amazon,2025-10-16 08:31:00,Dubai,Mobile,9,42245.07,No,0
TXN100060,CUST1329,1668.7,Credit,Google,2025-07-20 18:22:00,Kochi,Web,7,8248.24,No,0
TXN100061,CUST1167,1573.47,Credit,Walmart,2025-07-20 02:41:00,Pune,Mobile,7,94022.3,No,0
TXN100062,CUST1274,1537.1,Debit,ATM,2025-09-26 15:01:00,Bengaluru,Mobile,8,22477.02,No,0
TXN100063,CUST1388,977.17,Debit,Other,2025-07-14 09:22:00,,ATM,6,65297.37,No,0
TXN100064,CUST1089,2099.86,Debit,Local Store,2025-01-30 07:49:00,Delhi,Web,7,12598.5,No,0
TXN100065,CUST1316,788.17,Credit,Google,2025-03-02 04:12:00,Chennai,Web,13,45744.02,No,0
TXN100066,CUST1014,5289.27,Debit,Amazon,2025-06-23 05:54:00,Mumbai,Web,9,12335.44,No,0
TXN100067,CUST1242,149.45,Debit,Amazon,2025-06-30 15:16:00,London,Mobile,6,23847.6,No,0
TXN100068,CUST1265,441.44,Debit,Google,2025-12-28 19:05:00,Dubai,Mobile,12,61439.63,No,0
TXN100069,CUST1346,1564.54,Debit,ATM,2025-01-14 20:55:00,Chennai,Mobile,11,47227.06,No,0
TXN100070,CUST1053,1012.82,Debit,Zomato,2025-04-20 13:55:00,Pune,Mobile,9,45440.13,No,0
TXN100071,CUST1386,663.31,Credit,Myntra,2025-10-17 05:35:00,Kochi,Web,9,22803.46,No,0
TXN100072,CUST1340,1306.34,Debit,Uber,2025-05-26 09:33:00,Bengaluru,Web,8,13572.61,No,0
TXN100073,CUST1092,325.53,Debit,Swiggy,2025-05-17 21:33:00,Mumbai,Mobile,3,53414.84,No,0
TXN100074,CUST1367,389.06,Debit,Local Store,2025-07-25 01:26:00,Pune,Mobile,9,14912.3,No,0
TXN100075,CUST1444,965.72,Credit,Uber,2025-05-03 05:57:00,Mumbai,Mobile,7,18645.58,No,0
TXN100076,CUST1455,1609.85,Credit,Apple,2025-09-27 11:56:00,Chennai,Mobile,6,86726.83,No,0
TXN100077,CUST1428,535.63,Debit,Apple,2025-07-26 09:10:00,Pune,Mobile,9,45877.82,No,0
TXN100078,CUST1264,181.57,Credit,Amazon,2025-11-02 18:00:00,Dubai,Mobile,6,10692.74,No,0
TXN100079,CUST1431,1379.83,Debit,Apple,2025-03-12 10:59:00,Kolkata,Web,9,29491.44,No,0
TXN100080,CUST1035,1782.25,Debit,Zomato,2025-05-20 04:22:00,Pune,Mobile,7,26409.35,No,0
TXN100081,CUST1206,368.2,Debit,Myntra,2025-03-12 12:00:00,Hyderabad,Mobile,8,22449.45,No,0
TXN100082,CUST1081,740.57,Debit,Other,2025-12-25 10:03:00,Bengaluru,Web,8,22967.46,No,0
TXN100083,CUST1420,2724.09,Debit,Apple,2025-08-18 00:33:00,Kolkata,Mobile,12,79332.27,No,0
TXN100084,CUST1050,344.18,Debit,Walmart,2025-08-15 22:58:00,Hyderabad,Mobile,12,132706.65,No,0
TXN100085,CUST1360,1061.56,Debit,Myntra,2025-04-11 13:52:00,Kochi,Mobile,6,28799.91,No,0
TXN100086,CUST1388,564.02,Credit,Zomato,2025-04-17 05:59:00,Chennai,Mobile,11,33619.71,No,0
TXN100087,CUST1002,9744.83,Debit,ATM,2025-08-31 02:19:00,Mumbai,Mobile,12,10688.07,No,0
TXN100088,CUST1390,321.47,Debit,Uber,2025-02-12 14:47:00,Mumbai,ATM,14,105979.24,No,0
TXN100089,CUST1054,176.93,Debit,Myntra,2025-10-09 19:24:00,Dubai,Mobile,6,18143.09,No,0
TXN100090,CUST1106,2010.72,Debit,Myntra,2025-06-13 18:06:00,Chennai,ATM,9,21650.34,No,0
TXN100091,CUST1260,791.82,Debit,Uber,2025-02-01 01:38:00,Chennai,Mobile,5,53790.74,No,0
TXN100092,CUST1310,391.3,Debit,Zomato,2025-08-28 02:53:00,Bengaluru,Mobile,10,36704.62,Yes,0
TXN100093,CUST1477,670.71,Credit,ATM,2025-08-24 01:51:00,Kochi,Mobile,9,44892.22,No,0
TXN100094,CUST1191,4993.6,Debit,Apple,2025-05-21 12:12:00,Bengaluru,Mobile,6,49492.62,No,0
TXN100095,CUST1402,1099.93,Debit,Amazon,2025-09-23 18:49:00,Bengaluru,Mobile,5,29550.43,No,0
TXN100096,CUST1218,4744.41,Credit,Local Store,2025-03-19 09:33:00,Chennai,Mobile,8,57652.71,No,0
TXN100097,CUST1044,317.52,Debit,ATM,2025-01-14 18:16:00,Pune,Mobile,7,8263.48,No,0
TXN100098,CUST1162,3252.33,Debit,Uber,2025-10-17 09:15:00,Chennai,Mobile,5,101390.19,No,0
TXN100099,CUST1202,416.35,Debit,Other,2025-09-15 15:20:00,Hyderabad,Mobile,7,25945.11,Yes,0
TXN100100,CUST1446,3740.0,Debit,Uber,2025-05-29 07:27:00,Hyderabad,Mobile,9,57233.93,No,0
TXN100101,CUST1484,3446.74,Debit,ATM,2025-12-24 14:13:00,Delhi,Mobile,7,43023.44,No,0
TXN100102,CUST1270,405.52,Debit,Uber,2025-05-31 03:04:00,Pune,Web,8,6645.16,No,0
TXN100103,CUST1351,1672.95,Debit,Uber,2025-07-27 00:10:00,Delhi,ATM,12,35024.73,No,0
TXN100104,CUST1304,1348.7,Debit,Local Store,2025-08-09 09:08:00,Dubai,Mobile,10,6095.72,No,0
TXN100105,CUST1271,2796.48,Credit,Local Store,2025-05-08 01:18:00,London,Mobile,9,43068.57,No,0
TXN100106,CUST1456,353.32,Debit,Apple,2025-07-12 20:27:00,Hyderabad,Mobile,6,34996.46,No,0
TXN100107,CUST1462,730.3,Debit,Google,2025-03-06 02:44:00,Pune,ATM,7,11390.29,No,0
TXN100108,CUST1215,1150.57,Credit,Google,2025-06-05 05:36:00,Pune,Mobile,11,34243.76,No,0
TXN100109,CUST1252,4937.89,Debit,Flipkart,2025-07-08 21:11:00,Dubai,Web,8,20819.82,No,0
TXN100110,CUST1190,1164.1,Debit,Uber,2025-01-19 03:55:00,Mumbai,Mobile,2,26297.83,No,0
TXN100111,CUST1296,415.32,Credit,Uber,2025-08-26 08:55:00,Delhi,Mobile,6,4271.55,No,0
TXN100112,CUST1213,1511.77,Debit,Myntra,2025-11-16 18:54:00,Mumbai,Mobile,12,11747.3,Yes,0
TXN100113,CUST1208,397.37,Debit,Google,2025-04-14 17:41:00,Kochi,Mobile,9,16477.02,No,0
TXN100114,CUST1237,203.1,Credit,Apple,2025-04-02 10:51:00,Bengaluru,ATM,6,12673.17,No,0
TXN100115,CUST1338,932.94,Debit,Other,2025-11-27 20:10:00,Bengaluru,Mobile,12,20048.85,No,0
TXN100116,CUST1367,1447.75,Debit,Amazon,2025-11-04 20:44:00,Hyderabad,Mobile,6,17958.97,No,0
TXN100117,CUST1053,1329.8,Debit,Flipkart,2025-01-25 02:27:00,Bengaluru,Web,9,37282.75,No,0
TXN100118,CUST1280,1156.87,Debit,Flipkart,2025-12-27 01:17:00,Delhi,Web,6,3831.64,No,0
TXN100119,CUST1410,6539.81,Debit,Other,2025-09-03 08:19:00,Chennai,Mobile,4,132502.59,No,0
TXN100120,CUST1217,5173.55,Credit,Other,2025-04-21 01:32:00,Hyderabad,Mobile,9,18743.2,No,0
TXN100121,CUST1252,480.93,Debit,ATM,2025-11-26 05:52:00,Dubai,Mobile,6,23628.22,No,0
TXN100122,CUST1188,2816.67,Credit,Apple,2025-04-29 03:02:00,Mumbai,Mobile,4,46442.86,No,0
TXN100123,CUST1380,10529.37,Debit,Amazon,2025-10-01 19:14:00,Pune,Web,14,109554.68,No,0
TXN100124,CUST1493,6362.99,Credit,Myntra,2025-05-31 21:25:00,Chennai,Mobile,4,19113.65,Yes,0
TXN100125,CUST1041,3004.8,Debit,Local Store,2025-08-24 00:04:00,Bengaluru,Mobile,8,49862.28,No,0
TXN100126,CUST1157,959.12,Debit,Other,2025-04-21 17:56:00,Kochi,Mobile,8,17975.98,No,0
TXN100127,CUST1015,297.51,Debit,Swiggy,2025-04-22 18:08:00,Pune,ATM,8,60185.6,No,0
TXN100128,CUST1301,419.31,Debit,Google,2025-07-25 15:41:00,Mumbai,Mobile,9,50154.05,No,0
TXN100129,CUST1065,1859.98,Debit,Uber,2025-06-22 13:40:00,London,Mobile,11,13366.85,No,0
TXN100130,CUST1345,1472.08,Credit,Apple,2025-04-02 21:11:00,Dubai,ATM,7,45902.28,No,0
TXN100131,CUST1327,1174.57,Credit,ATM,2025-06-20 12:26:00,London,Mobile,16,10193.84,No,0
TXN100132,CUST1009,2724.6,Debit,Google,2025-05-17 14:53:00,Mumbai,ATM,12,17050.33,Yes,0
TXN100133,CUST1344,3533.07,Debit,Uber,2025-04-12 17:10:00,Bengaluru,Mobile,4,10888.22,No,0
TXN100134,CUST1129,3528.07,Debit,Swiggy,2025-08-10 06:47:00,Kolkata,Mobile,9,29753.31,No,0
TXN100135,CUST1492,2290.08,Debit,,2025-01-05 13:30:00,Kolkata,Web,10,62866.11,Yes,0
TXN100136,CUST1136,1839.64,Debit,Local Store,2025-08-18 19:29:00,Chennai,ATM,11,11708.32,Yes,0
TXN100137,CUST1472,647.71,Credit,ATM,2025-12-13 14:35:00,Pune,Mobile,9,40162.26,No,0
TXN100138,CUST1063,1194.39,Credit,Zomato,2025-02-24 23:01:00,Chennai,ATM,6,24799.33,Yes,0
TXN100139,CUST1139,1571.18,Debit,Swiggy,2025-01-09 09:55:00,Mumbai,Web,10,13765.97,No,0
TXN100140,CUST1499,1039.63,Debit,Other,2025-01-28 03:02:00,Hyderabad,Web,12,21665.87,No,0
TXN100141,CUST1081,223.5,Debit,ATM,2025-07-24 15:40:00,Pune,Mobile,7,45897.43,No,0
TXN100142,CUST1392,1511.1,Debit,Google,2025-09-29 03:59:00,Hyderabad,Mobile,7,60184.69,No,0
TXN100143,CUST1163,1035.15,Debit,Walmart,2025-10-04 04:06:00,Kochi,ATM,7,37444.83,No,0
TXN100144,CUST1419,955.17,Debit,Walmart,2025-03-26 15:03:00,Delhi,ATM,6,28917.85,No,0
TXN100145,CUST1289,1946.26,Credit,Uber,2025-12-14 23:16:00,Kochi,Mobile,13,30248.2,No,0
TXN100146,CUST1379,1906.6,Debit,Uber,2025-12-14 17:26:00,London,Mobile,9,17175.87,No,0
TXN100147,CUST1261,3618.17,Debit,Zomato,2025-02-03 13:20:00,Kolkata,Mobile,8,31973.63,No,0
TXN100148,CUST1490,1980.89,Credit,Walmart,2025-12-11 23:18:00,London,Mobile,5,9870.8,No,0
TXN100149,CUST1231,746.98,Credit,Uber,2025-04-12 20:09:00,Chennai,Mobile,5,27202.39,No,0
TXN100150,CUST1041,4119.14,Debit,Swiggy,2025-03-29 01:14:00,Hyderabad,Mobile,12,106351.05,No,0
TXN100151,CUST1028,4933.6,Debit,Uber,2025-11-08 13:05:00,Chennai,Mobile,9,21392.39,No,0
TXN100152,CUST1135,1073.84,Debit,Flipkart,2025-01-20 21:05:00,Bengaluru,Web,14,68933.17,No,0
TXN100153,CUST1201,3824.4,Credit,Zomato,2025-07-18 18:33:00,Kochi,Mobile,14,49177.96,No,0
TXN100154,CUST1328,1291.3,Credit,Apple,2025-01-26 08:07:00,Chennai,Mobile,9,87410.39,No,0
TXN100155,CUST1268,3462.05,Debit,Amazon,2025-11-15 18:54:00,Delhi,Mobile,4,2847.22,No,0
TXN100156,CUST1418,4119.83,Debit,Myntra,2025-06-08 09:11:00,Delhi,Web,12,33955.09,No,0
TXN100157,CUST1033,582.35,Credit,ATM,2025-12-05 21:31:00,Delhi,Mobile,7,46213.99,No,0
TXN100158,CUST1048,4446.47,Debit,Amazon,2025-08-05 20:42:00,Mumbai,Mobile,8,54110.55,Yes,0
TXN100159,CUST1407,1147.42,Debit,Amazon,2025-05-01 18:15:00,Kochi,Web,13,73200.7,No,0
TXN100160,CUST1062,1619.47,Debit,Local Store,2025-10-26 21:44:00,Chennai,Web,11,50126.71,No,0
TXN100161,CUST1216,3334.1,Debit,Other,2025-08-08 14:05:00,Hyderabad,Web,6,35505.22,No,1
TXN100162,CUST1293,847.74,Debit,ATM,2025-03-12 09:36:00,Delhi,ATM,7,14485.76,No,0
TXN100163,CUST1099,2957.49,Credit,Apple,2025-10-23 05:06:00,Kolkata,Web,6,7135.46,No,0
TXN100164,CUST1172,1295.86,Credit,Uber,2025-07-15 14:12:00,Mumbai,Web,9,81185.28,No,0
TXN100165,CUST1360,696.26,Debit,Other,2025-11-24 20:52:00,Dubai,Mobile,1,18854.92,No,0
TXN100166,CUST1214,2086.88,Debit,Local Store,2025-04-20 18:16:00,Mumbai,Mobile,11,22863.8,No,0
TXN100167,CUST1475,3837.48,Debit,Amazon,2025-11-18 09:05:00,Mumbai,Mobile,10,58639.84,No,0
TXN100168,CUST1035,1218.7,Debit,ATM,2025-12-13 23:33:00,Chennai,Mobile,7,29310.41,No,0
TXN100169,CUST1449,397.97,Debit,Flipkart,2025-12-30 01:48:00,Delhi,Mobile,9,12482.06,No,0
TXN100170,CUST1227,794.57,Credit,Myntra,2025-11-29 04:46:00,Pune,Mobile,7,8261.7,No,0
TXN100171,CUST1101,540.93,Debit,Amazon,2025-10-19 01:39:00,Chennai,Web,5,22722.83,No,0
TXN100172,CUST1431,10669.39,Debit,Walmart,2025-12-27 22:57:00,Hyderabad,Mobile,4,31950.29,No,0
TXN100173,CUST1462,457.58,Debit,Apple,2025-09-19 05:48:00,Pune,Mobile,4,54023.02,No,0
TXN100174,CUST1131,112.75,Credit,Apple,2025-06-11 11:49:00,Hyderabad,ATM,7,27073.71,No,0
TXN100175,CUST1257,746.29,Credit,Apple,2025-12-03 18:45:00,Bengaluru,Mobile,8,30182.02,No,0
TXN100176,CUST1005,1321.28,Credit,Zomato,2025-01-26 05:21:00,Kolkata,Mobile,9,11049.05,No,0
TXN100177,CUST1218,1133.34,Credit,Zomato,2025-08-21 22:41:00,Bengaluru,Mobile,4,64925.07,No,0
TXN100178,CUST1255,1312.72,Debit,Swiggy,2025-06-20 03:34:00,Dubai,ATM,5,284877.85,No,0
TXN100179,CUST1398,304.98,Debit,Google,2025-04-19 16:18:00,Chennai,Mobile,2,78896.63,Yes,0
TXN100180,CUST1359,1166.35,Debit,Myntra,2025-01-13 08:12:00,Pune,Web,7,73719.96,Yes,0
TXN100181,CUST1283,407.27,Debit,Local Store,2025-10-02 00:23:00,Mumbai,Mobile,8,38516.14,No,0
TXN100182,CUST1393,2711.53,Debit,Other,2025-06-15 13:09:00,Kochi,Mobile,8,13577.56,No,0
TXN100183,CUST1207,349.59,Debit,Other,2025-02-06 01:24:00,Chennai,Mobile,7,15578.85,No,0
TXN100184,CUST1015,1005.97,Debit,Other,2025-09-01 22:56:00,Kolkata,Web,3,48726.82,No,0
TXN100185,CUST1346,495.44,Debit,Uber,2025-01-20 06:03:00,Delhi,Web,8,57994.09,No,0
TXN100186,CUST1042,2842.55,Debit,Amazon,2025-05-25 23:46:00,Mumbai,Web,3,14700.7,No,0
TXN100187,CUST1380,685.25,Credit,Google,2025-05-29 21:52:00,Mumbai,Web,10,41811.5,No,0
TXN100188,CUST1461,383.66,Debit,Uber,2025-04-08 05:19:00,Pune,Mobile,10,32365.34,No,0
TXN100189,CUST1179,3147.92,Debit,Local Store,2025-09-07 02:10:00,Dubai,Web,6,43103.7,No,0
TXN100190,CUST1063,149.45,Debit,Other,2025-02-25 12:53:00,Chennai,Mobile,4,38883.07,No,0
TXN100191,CUST1352,2191.12,Debit,Google,2025-11-11 21:29:00,Chennai,Web,5,40415.54,No,0
TXN100192,CUST1231,1535.9,Debit,Uber,2025-07-19 18:41:00,Kochi,Mobile,9,6911.48,No,0
TXN100193,CUST1241,13663.7,Debit,Flipkart,2025-12-10 09:49:00,Chennai,Mobile,3,116763.5,Yes,0
TXN100194,CUST1052,2102.06,Debit,Zomato,2025-06-06 06:49:00,London,Mobile,7,85948.98,No,0
TXN100195,CUST1096,1809.13,Debit,Local Store,2025-07-06 12:55:00,Delhi,Mobile,10,29400.98,No,0
TXN100196,CUST1388,467.98,Debit,Other,2025-04-26 18:23:00,Kolkata,Mobile,6,12270.16,No,0
TXN100197,CUST1222,880.58,Debit,ATM,2025-01-22 18:28:00,Bengaluru,Web,9,45361.29,No,0
TXN100198,CUST1485,1425.31,Debit,Myntra,2025-05-16 23:24:00,Bengaluru,Mobile,9,9932.35,No,0
TXN100199,CUST1407,4546.35,Debit,Walmart,2025-04-05 07:52:00,Kolkata,Mobile,10,104580.63,No,0
TXN100200,CUST1231,508.22,Debit,Flipkart,2025-07-24 19:23:00,Dubai,Web,8,26342.49,No,0
TXN100201,CUST1237,174.46,Debit,Zomato,2025-07-17 01:40:00,London,Mobile,9,19009.34,No,0
TXN100202,CUST1143,1178.86,Debit,Apple,2025-02-07 04:31:00,Bengaluru,Web,6,46061.44,No,0
TXN100203,CUST1171,222.88,Debit,Zomato,2025-10-09 02:12:00,Chennai,Mobile,8,20906.93,No,0
TXN100204,CUST1029,2463.86,Debit,Google,2025-08-22 06:34:00,Chennai,ATM,11,24100.43,No,0
TXN100205,CUST1036,4996.07,Debit,Swiggy,2025-10-19 19:02:00,Kochi,Web,7,16396.22,No,0
TXN100206,CUST1013,3074.34,Credit,Flipkart,2025-05-28 18:21:00,Hyderabad,Mobile,8,47515.65,No,0
TXN100207,CUST1160,662.81,Credit,Apple,2025-11-11 15:45:00,Chennai,Mobile,5,37444.96,No,0
TXN100208,CUST1327,5543.64,Credit,Google,2025-02-11 02:22:00,Bengaluru,Mobile,10,65366.16,No,0
TXN100209,CUST1187,508.83,Debit,Local Store,2025-08-31 13:47:00,Hyderabad,ATM,9,8788.21,No,0
TXN100210,CUST1243,410.49,Debit,Myntra,2025-07-29 08:14:00,London,Mobile,3,11933.6,No,0
TXN100211,CUST1086,4580.58,Debit,Zomato,2025-08-09 23:52:00,Delhi,Mobile,8,20166.8,Yes,0
TXN100212,CUST1284,768.53,Debit,ATM,2025-04-08 04:58:00,Bengaluru,Mobile,4,68420.73,No,0
TXN100213,CUST1066,1285.71,Debit,Local Store,2025-11-24 15:48:00,Hyderabad,Web,8,10210.79,No,0
TXN100214,CUST1170,3024.88,Debit,Apple,2025-06-29 12:37:00,Hyderabad,Mobile,4,15722.06,No,0
TXN100215,CUST1045,365.23,Credit,Google,2025-11-02 14:57:00,Chennai,ATM,9,86277.58,No,0
TXN100216,CUST1062,642.68,Debit,Other,2025-08-03 06:37:00,Chennai,Mobile,8,44234.7,No,0
TXN100217,CUST1441,609.3,Credit,Swiggy,2025-04-06 04:44:00,Kolkata,Mobile,7,66853.23,No,0
TXN100218,CUST1134,868.64,Debit,Other,2025-05-22 07:42:00,Chennai,Mobile,7,27769.3,No,0
TXN100219,CUST1284,538.91,Debit,Zomato,2025-04-11 08:59:00,Bengaluru,Web,15,111997.42,No,0
TXN100220,CUST1028,1590.66,Debit,ATM,2025-10-22 14:26:00,Hyderabad,ATM,3,10013.5,Yes,0
TXN100221,CUST1108,1570.68,Debit,Myntra,2025-12-29 09:43:00,Pune,Mobile,11,25316.0,No,0
TXN100222,CUST1044,1097.98,Credit,Swiggy,2025-03-26 17:19:00,Delhi,Mobile,7,23803.18,No,0
TXN100223,CUST1340,1378.64,Debit,Uber,2025-03-21 17:13:00,Kolkata,Web,7,24024.9,No,0
TXN100224,CUST1286,569.82,Debit,Google,2025-11-14 14:53:00,Delhi,Mobile,10,11595.44,No,0
TXN100225,CUST1446,1120.07,Credit,Local Store,2025-09-15 04:01:00,Kolkata,Mobile,2,45064.92,No,0
TXN100226,CUST1331,203.34,Debit,ATM,2025-01-09 12:49:00,Chennai,Mobile,9,11867.2,No,0
TXN100227,CUST1128,2951.3,Credit,Zomato,2025-06-28 17:28:00,Dubai,Mobile,6,10946.04,Yes,0
TXN100228,CUST1348,625.85,Debit,Zomato,2025-03-01 23:25:00,Chennai,Mobile,7,4252.76,No,0
TXN100229,CUST1473,653.26,Debit,Apple,2025-05-02 16:11:00,Mumbai,Mobile,7,17041.07,No,0
TXN100230,CUST1231,430.68,Debit,ATM,2025-05-05 20:25:00,Pune,Mobile,13,33190.86,No,0
TXN100231,CUST1190,1261.48,Debit,Myntra,2025-02-20 09:48:00,Mumbai,Web,6,36913.75,No,0
TXN100232,CUST1225,643.03,Debit,Walmart,2025-02-14 04:46:00,London,Mobile,7,25133.89,No,0
TXN100233,CUST1385,2058.21,Debit,Uber,2025-07-04 13:58:00,Mumbai,Web,10,17993.38,No,0
TXN100234,CUST1377,383.81,Credit,Swiggy,2025-12-01 21:18:00,Dubai,Mobile,7,21935.03,No,0
